customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
13298,0.0,1,360.0,1,4,4,144,At Risk
17144,0.0,2,984.57,1,3,2,132,Others
13077,0.0,4,728.02,1,2,3,123,Hibernating
16688,0.0,4,1260.86,1,2,2,122,Hibernating
14621,0.0,5,1788.36,1,2,2,122,Hibernating
14653,0.0,7,1924.16,1,1,2,112,Hibernating
17668,0.0,2,347.75,1,4,4,144,At Risk
16401,0.0,12,4091.72,1,1,1,111,Hibernating
14569,0.0,1,219.39,1,5,5,155,At Risk
16833,0.0,4,1106.53,1,2,2,122,Hibernating
14446,0.0,4,954.1,1,2,2,122,Hibernating
13098,0.0,28,28882.44,1,1,1,111,Hibernating
15796,0.0,8,2701.81,1,1,1,111,Hibernating
15189,0.0,41,16225.39,1,1,1,111,Hibernating
17428,0.0,28,17256.85,1,1,1,111,Hibernating
16933,0.0,2,553.33,1,3,3,133,Others
14415,0.0,13,5782.28,1,1,1,111,Hibernating
13318,0.0,3,640.76,1,3,3,133,Others
12680,0.0,4,880.81,1,2,3,123,Hibernating
16892,0.0,5,518.19,1,2,3,123,Hibernating
17451,0.0,7,1721.4,1,1,2,112,Hibernating
15898,0.0,5,1356.13,1,2,2,122,Hibernating
17490,0.0,7,2092.32,1,1,1,111,Hibernating
15804,0.0,13,4206.39,1,1,1,111,Hibernating
13013,0.0,13,4810.94,1,1,1,111,Hibernating
13026,0.0,5,975.36,1,2,2,122,Hibernating
12433,0.0,7,13375.87,1,1,1,111,Hibernating
17243,0.0,26,8442.25,1,1,1,111,Hibernating
16794,0.0,10,1162.95,1,1,2,112,Hibernating
17491,0.0,10,3558.87,1,1,1,111,Hibernating
17581,0.0,25,11025.24,1,1,1,111,Hibernating
13404,0.0,2,252.49,1,4,4,144,At Risk
13102,0.0,24,6424.09,1,1,1,111,Hibernating
13069,0.0,24,4415.65,1,1,1,111,Hibernating
13113,0.0,24,12241.01,1,1,1,111,Hibernating
17530,0.0,10,2342.19,1,1,1,111,Hibernating
17644,0.0,11,2895.64,1,1,1,111,Hibernating
14051,0.0,23,15574.99,1,1,1,111,Hibernating
14056,0.0,23,8043.75,1,1,1,111,Hibernating
15399,0.0,3,815.77,1,3,3,133,Others
16446,0.0,2,168472.5,1,3,1,131,Others
15156,0.0,3,961.49,1,2,2,122,Hibernating
13426,0.0,10,3641.32,1,1,1,111,Hibernating
13890,0.0,10,1883.81,1,1,2,112,Hibernating
15208,0.0,5,870.12,1,2,3,123,Hibernating
13599,0.0,21,5147.02,1,1,1,111,Hibernating
16705,0.0,20,14034.99,1,1,1,111,Hibernating
13680,0.0,4,3698.72,1,2,1,121,Hibernating
16558,0.0,20,8338.49,1,1,1,111,Hibernating
12423,0.0,8,1859.31,1,1,2,112,Hibernating
17528,0.0,8,3619.12,1,1,1,111,Hibernating
17949,0.0,45,57396.88,1,1,1,111,Hibernating
15484,0.0,4,3590.41,1,2,1,121,Hibernating
14911,0.0,201,143711.17,1,1,1,111,Hibernating
17001,0.0,11,3989.57,1,1,1,111,Hibernating
14422,0.0,6,4263.64,1,1,1,111,Hibernating
12526,0.0,3,1316.66,1,3,2,132,Others
13263,0.0,35,7298.93,1,1,1,111,Hibernating
16954,0.0,9,2085.08,1,1,1,111,Hibernating
15311,0.0,91,60596.73,1,1,1,111,Hibernating
17389,0.0,34,31833.68,1,1,1,111,Hibernating
13471,0.0,4,2391.17,1,2,1,121,Hibernating
14730,0.0,8,1787.13,1,1,2,112,Hibernating
12713,0.0,1,848.55,1,5,3,153,At Risk
16358,0.0,4,2027.5,1,2,2,122,Hibernating
17754,0.0,5,1652.98,1,2,2,122,Hibernating
15344,0.0,3,563.94,1,2,3,123,Hibernating
12748,0.0,209,32478.74,1,1,1,111,Hibernating
12985,0.0,2,1239.38,1,3,2,132,Others
16626,0.0,17,4413.1,1,1,1,111,Hibernating
12662,0.0,11,3849.78,1,1,1,111,Hibernating
13798,0.0,57,36536.09,1,1,1,111,Hibernating
14796,0.0,17,7868.39,1,1,1,111,Hibernating
14702,0.0,17,3251.79,1,1,1,111,Hibernating
18102,0.0,60,259657.3,1,1,1,111,Hibernating
17554,0.0,5,1926.95,1,2,2,122,Hibernating
13860,0.0,5,1245.9,1,2,2,122,Hibernating
13777,0.0,33,25977.16,1,1,1,111,Hibernating
13510,0.0,4,1791.56,1,2,2,122,Hibernating
14441,0.0,4,1712.89,1,2,2,122,Hibernating
17405,0.0,3,1031.41,1,2,2,122,Hibernating
12955,0.0,11,4757.16,1,1,1,111,Hibernating
17364,0.0,11,4438.04,1,1,1,111,Hibernating
13521,0.0,3,1039.27,1,2,2,122,Hibernating
13536,0.0,7,3437.07,1,1,1,111,Hibernating
13269,0.0,15,5341.63,1,1,1,111,Hibernating
16322,0.0,2,321.3,1,4,4,144,At Risk
12518,0.0,5,2056.89,1,2,1,121,Hibernating
17675,0.0,31,20374.28,1,1,1,111,Hibernating
15910,0.0,8,1183.43,1,1,2,112,Hibernating
14606,0.0,93,12029.27,1,1,1,111,Hibernating
17757,0.0,30,5543.89,1,1,1,111,Hibernating
15694,0.0,14,6479.4,1,1,1,111,Hibernating
14204,1.0,1,142.27,1,5,5,155,At Risk
16426,1.0,10,1824.71,1,1,2,112,Hibernating
15237,1.0,4,1412.32,1,2,2,122,Hibernating
15187,1.0,16,4777.18,1,1,1,111,Hibernating
13870,1.0,8,2770.94,1,1,1,111,Hibernating
14138,1.0,2,965.88,1,3,2,132,Others
15883,1.0,2,396.48,1,3,4,134,Others
15159,1.0,30,18641.01,1,1,1,111,Hibernating
17677,1.0,30,16345.38,1,1,1,111,Hibernating
12471,1.0,30,19788.65,1,1,1,111,Hibernating
17436,1.0,2,216.3,1,4,5,145,At Risk
14132,1.0,11,3586.03,1,1,1,111,Hibernating
14719,1.0,5,1563.14,1,2,2,122,Hibernating
12783,1.0,6,2225.91,1,1,1,111,Hibernating
15877,1.0,2,489.13,1,3,3,133,Others
17315,1.0,38,6245.57,1,1,1,111,Hibernating
16523,1.0,21,9418.47,1,1,1,111,Hibernating
14646,1.0,73,280206.02,1,1,1,111,Hibernating
12950,1.0,3,1843.0,1,2,2,122,Hibernating
14189,1.0,15,4654.08,1,1,1,111,Hibernating
18273,1.0,3,204.0,1,2,5,125,Hibernating
15443,1.0,7,3073.46,1,1,1,111,Hibernating
17266,1.0,3,262.59,1,3,4,134,Others
15298,1.0,12,4799.9,1,1,1,111,Hibernating
17673,1.0,6,1584.53,1,1,2,112,Hibernating
17830,1.0,3,398.7,1,3,4,134,Others
12747,1.0,11,4196.01,1,1,1,111,Hibernating
13756,1.0,14,5189.52,1,1,1,111,Hibernating
18210,1.0,6,2621.38,1,1,1,111,Hibernating
14291,1.0,11,3883.25,1,1,1,111,Hibernating
16672,1.0,20,8134.94,1,1,1,111,Hibernating
12621,1.0,20,13689.67,1,1,1,111,Hibernating
17097,1.0,8,940.9,1,1,2,112,Hibernating
18092,1.0,11,9068.26,1,1,1,111,Hibernating
14904,1.0,2,1025.44,1,3,2,132,Others
16442,1.0,3,603.32,1,3,3,133,Others
12935,1.0,7,2160.7,1,1,1,111,Hibernating
14135,1.0,15,4690.31,1,1,1,111,Hibernating
16393,1.0,13,2968.66,1,1,1,111,Hibernating
15471,1.0,1,426.41,1,5,4,154,At Risk
17449,1.0,7,2516.26,1,1,1,111,Hibernating
16161,1.0,19,5531.57,1,1,1,111,Hibernating
15453,1.0,7,1306.47,1,1,2,112,Hibernating
15701,1.0,4,1497.37,1,2,2,122,Hibernating
17434,1.0,7,2373.82,1,1,1,111,Hibernating
12347,1.0,7,4310.0,1,1,1,111,Hibernating
17870,1.0,12,1785.5,1,1,2,112,Hibernating
12569,1.0,32,4124.69,1,1,1,111,Hibernating
14191,1.0,13,4684.76,1,1,1,111,Hibernating
13314,1.0,3,761.09,1,3,3,133,Others
16891,1.0,5,723.84,1,2,3,123,Hibernating
